,0
0,4.0
1,12.0
2,7.0
3,14.0
4,4.0
5,5.0
6,4.0
7,7.0
8,4.0
9,3.0
10,4.0
11,4.0
12,3.0
13,12.0
14,3.0
15,12.0
16,13.0
17,12.0
18,4.0
19,7.0
20,3.0
21,13.0
22,5.0
23,12.0
24,5.0
25,2.0
26,5.0
27,12.0
28,12.0
29,12.0
30,12.0
31,3.0
32,3.0
33,3.0
34,3.0
35,4.0
36,10.0
37,3.0
38,4.0
39,1.0
40,4.0
41,4.0
42,0.0
43,9.0
44,2.0
45,13.0
46,4.0
47,11.0
48,4.0
49,4.0
50,4.0
51,6.0
52,13.0
53,4.0
54,0.0
55,4.0
56,4.0
57,6.0
58,4.0
59,13.0
60,12.0
61,4.0
62,4.0
63,3.0
64,13.0
65,6.0
66,4.0
67,4.0
68,4.0
69,4.0
70,4.0
71,13.0
72,4.0
73,11.0
74,0.0
75,0.0
76,10.0
77,9.0
78,7.0
79,5.0
80,0.0
81,0.0
82,13.0
83,4.0
84,7.0
85,4.0
86,2.0
87,4.0
88,4.0
89,5.0
90,14.0
91,6.0
92,4.0
93,4.0
94,4.0
95,7.0
96,2.0
97,1.0
98,4.0
99,2.0
100,7.0
101,4.0
102,4.0
103,7.0
104,4.0
105,4.0
106,4.0
107,4.0
108,4.0
109,10.0
110,4.0
111,4.0
112,1.0
113,6.0
114,4.0
115,6.0
116,7.0
117,4.0
118,4.0
119,4.0
120,4.0
121,4.0
122,4.0
123,4.0
124,4.0
125,4.0
126,4.0
127,6.0
128,12.0
129,4.0
130,2.0
131,4.0
132,4.0
133,4.0
134,4.0
135,4.0
136,3.0
137,6.0
138,4.0
139,4.0
140,13.0
141,4.0
142,4.0
143,11.0
144,4.0
145,8.0
146,1.0
147,4.0
148,11.0
149,4.0
150,4.0
151,4.0
152,4.0
153,3.0
154,4.0
155,4.0
156,2.0
157,11.0
158,4.0
159,6.0
160,0.0
161,3.0
162,4.0
163,4.0
164,2.0
165,4.0
166,4.0
167,4.0
168,4.0
169,4.0
170,4.0
171,0.0
172,13.0
173,5.0
174,13.0
175,4.0
176,4.0
177,4.0
178,5.0
179,4.0
180,10.0
181,4.0
182,0.0
183,3.0
184,10.0
185,4.0
186,4.0
187,4.0
188,4.0
189,4.0
190,12.0
191,6.0
192,10.0
193,13.0
194,4.0
195,14.0
196,4.0
197,4.0
198,11.0
199,2.0
200,4.0
201,4.0
202,7.0
203,4.0
204,11.0
205,4.0
206,11.0
207,4.0
208,2.0
209,10.0
210,11.0
211,4.0
212,5.0
213,4.0
214,13.0
215,4.0
216,2.0
217,4.0
218,4.0
219,5.0
220,10.0
221,11.0
222,4.0
223,5.0
224,4.0
225,11.0
226,0.0
227,4.0
228,4.0
229,14.0
230,5.0
231,4.0
232,11.0
233,4.0
234,4.0
235,10.0
236,4.0
237,4.0
238,11.0
