,0
0,13.0
1,14.0
2,14.0
3,6.0
4,2.0
5,9.0
6,2.0
7,9.0
8,2.0
9,9.0
10,2.0
11,1.0
12,11.0
13,6.0
14,5.0
15,1.0
16,8.0
17,11.0
18,1.0
19,1.0
20,6.0
21,11.0
22,5.0
23,11.0
24,1.0
25,5.0
26,6.0
27,1.0
28,8.0
29,8.0
30,1.0
31,6.0
32,5.0
33,5.0
34,11.0
35,5.0
36,8.0
37,1.0
38,8.0
39,8.0
40,6.0
41,8.0
42,8.0
43,8.0
44,8.0
45,1.0
46,8.0
47,1.0
48,1.0
49,8.0
50,6.0
51,6.0
52,6.0
53,2.0
54,6.0
55,1.0
56,6.0
57,8.0
58,1.0
59,5.0
60,6.0
61,6.0
62,6.0
63,1.0
64,6.0
65,2.0
66,2.0
67,6.0
68,1.0
69,5.0
70,1.0
71,11.0
72,1.0
73,6.0
74,2.0
75,6.0
76,1.0
77,1.0
78,1.0
79,8.0
80,6.0
81,1.0
82,6.0
83,1.0
84,1.0
85,6.0
86,1.0
87,6.0
88,6.0
89,6.0
90,6.0
91,6.0
92,6.0
93,6.0
94,6.0
95,1.0
96,6.0
97,1.0
98,1.0
99,1.0
100,1.0
101,6.0
102,6.0
103,1.0
104,6.0
105,6.0
106,6.0
107,6.0
108,2.0
109,1.0
110,2.0
111,6.0
112,6.0
113,6.0
114,1.0
115,6.0
116,6.0
117,1.0
118,6.0
119,8.0
120,6.0
121,1.0
122,6.0
123,1.0
124,1.0
125,1.0
126,6.0
127,6.0
128,1.0
129,5.0
130,6.0
131,11.0
132,8.0
133,1.0
134,2.0
135,1.0
136,3.0
137,11.0
138,6.0
139,6.0
140,1.0
141,11.0
142,5.0
143,8.0
144,11.0
145,11.0
146,2.0
147,6.0
148,11.0
149,1.0
150,11.0
151,5.0
152,8.0
153,1.0
154,11.0
155,11.0
156,11.0
157,1.0
158,2.0
159,6.0
160,2.0
161,11.0
162,1.0
163,5.0
164,11.0
165,5.0
166,6.0
167,1.0
168,2.0
169,5.0
170,6.0
171,2.0
172,2.0
173,5.0
174,2.0
175,3.0
176,11.0
177,1.0
178,8.0
179,1.0
180,2.0
181,6.0
182,2.0
183,11.0
184,2.0
185,5.0
186,6.0
187,11.0
188,2.0
189,5.0
190,2.0
191,6.0
192,6.0
193,6.0
194,2.0
195,2.0
196,6.0
197,8.0
198,2.0
199,8.0
200,2.0
201,3.0
202,2.0
203,5.0
204,1.0
205,11.0
206,2.0
207,8.0
208,11.0
209,6.0
210,2.0
211,1.0
212,3.0
213,5.0
214,2.0
215,5.0
216,6.0
217,12.0
218,11.0
219,11.0
220,6.0
221,11.0
222,8.0
223,3.0
224,2.0
225,12.0
226,3.0
227,2.0
228,8.0
229,11.0
230,6.0
231,11.0
232,2.0
233,1.0
234,2.0
235,8.0
236,2.0
237,6.0
238,11.0
239,1.0
240,2.0
241,8.0
242,2.0
243,5.0
244,2.0
245,5.0
246,11.0
247,5.0
248,8.0
249,3.0
250,2.0
251,8.0
252,2.0
253,13.0
254,2.0
255,2.0
256,2.0
257,1.0
258,6.0
259,11.0
260,2.0
261,1.0
262,11.0
263,1.0
264,2.0
265,3.0
266,2.0
