,0
0,13.0
1,0.0
2,0.0
3,1.0
4,2.0
5,1.0
6,14.0
7,0.0
8,9.0
9,6.0
10,1.0
11,6.0
12,1.0
13,14.0
14,0.0
15,1.0
16,0.0
17,0.0
18,4.0
19,0.0
20,0.0
21,0.0
22,1.0
23,10.0
24,1.0
25,0.0
26,1.0
27,1.0
28,1.0
29,0.0
30,1.0
31,9.0
32,1.0
33,14.0
34,3.0
35,6.0
36,1.0
37,14.0
38,7.0
39,0.0
40,14.0
41,9.0
42,1.0
43,1.0
44,0.0
45,0.0
46,2.0
47,0.0
48,2.0
49,14.0
50,1.0
51,1.0
52,0.0
53,6.0
54,0.0
55,2.0
56,4.0
57,0.0
58,1.0
59,0.0
60,1.0
61,6.0
62,1.0
63,0.0
64,0.0
65,0.0
66,6.0
67,7.0
68,9.0
69,2.0
70,9.0
71,0.0
72,2.0
73,1.0
74,0.0
75,0.0
76,0.0
77,9.0
78,1.0
79,1.0
80,1.0
81,0.0
82,1.0
83,12.0
84,1.0
85,6.0
86,1.0
87,7.0
88,1.0
89,1.0
90,0.0
91,0.0
92,1.0
93,14.0
94,1.0
95,0.0
96,0.0
97,1.0
98,4.0
99,0.0
100,1.0
101,6.0
102,13.0
103,0.0
104,10.0
105,1.0
106,3.0
107,9.0
108,14.0
109,0.0
110,3.0
111,6.0
112,1.0
113,0.0
114,13.0
115,0.0
116,0.0
117,2.0
118,7.0
119,1.0
120,7.0
121,10.0
122,3.0
123,10.0
124,9.0
125,1.0
126,0.0
127,0.0
128,1.0
129,14.0
130,0.0
131,12.0
132,7.0
133,10.0
134,6.0
135,1.0
136,0.0
137,0.0
138,14.0
139,5.0
140,0.0
141,2.0
142,3.0
143,1.0
144,1.0
145,1.0
146,1.0
147,9.0
148,0.0
149,3.0
150,3.0
151,10.0
152,9.0
153,0.0
154,10.0
155,7.0
156,0.0
157,0.0
158,14.0
159,0.0
160,0.0
161,0.0
162,10.0
163,14.0
164,0.0
165,1.0
166,7.0
167,10.0
168,4.0
169,5.0
170,14.0
171,0.0
172,0.0
173,1.0
174,0.0
175,14.0
176,10.0
177,10.0
178,1.0
179,3.0
180,0.0
181,12.0
182,0.0
183,0.0
184,1.0
185,7.0
186,3.0
187,1.0
188,10.0
189,14.0
190,0.0
191,0.0
192,0.0
193,0.0
194,9.0
195,0.0
196,1.0
197,10.0
198,0.0
199,0.0
200,9.0
201,10.0
202,0.0
203,1.0
204,1.0
205,6.0
206,0.0
207,7.0
208,0.0
209,1.0
210,0.0
211,14.0
212,1.0
213,14.0
214,0.0
215,2.0
216,1.0
217,4.0
218,2.0
219,1.0
220,1.0
221,0.0
222,9.0
223,0.0
224,9.0
225,0.0
226,0.0
227,3.0
228,1.0
229,1.0
230,1.0
231,4.0
232,1.0
233,4.0
234,9.0
235,0.0
236,8.0
237,4.0
238,0.0
239,2.0
240,0.0
241,11.0
242,0.0
243,0.0
244,4.0
245,0.0
246,10.0
247,0.0
248,8.0
249,10.0
250,0.0
251,2.0
252,5.0
253,14.0
254,1.0
255,1.0
256,0.0
257,12.0
258,5.0
259,6.0
260,9.0
261,4.0
262,1.0
263,1.0
264,0.0
265,1.0
266,0.0
267,1.0
268,7.0
269,1.0
270,14.0
271,1.0
272,1.0
273,9.0
274,2.0
275,0.0
276,0.0
277,2.0
278,10.0
279,0.0
280,0.0
281,6.0
282,1.0
283,0.0
284,6.0
285,0.0
286,1.0
287,12.0
288,4.0
289,0.0
290,1.0
291,1.0
292,0.0
293,4.0
294,1.0
295,1.0
296,10.0
297,0.0
298,14.0
299,0.0
300,0.0
301,0.0
302,14.0
303,6.0
304,2.0
305,1.0
306,1.0
307,1.0
308,0.0
309,6.0
310,13.0
311,0.0
312,0.0
313,4.0
314,1.0
315,8.0
316,1.0
317,9.0
318,2.0
319,3.0
320,7.0
321,14.0
322,0.0
323,14.0
324,0.0
325,1.0
326,0.0
327,6.0
328,0.0
329,0.0
330,1.0
331,0.0
332,3.0
333,8.0
334,5.0
335,0.0
336,9.0
337,6.0
338,5.0
339,1.0
340,0.0
341,1.0
342,1.0
343,8.0
344,0.0
345,0.0
346,9.0
347,10.0
348,1.0
349,9.0
350,0.0
351,1.0
352,6.0
353,0.0
354,9.0
355,13.0
356,3.0
357,11.0
358,0.0
359,14.0
360,1.0
361,6.0
362,1.0
363,0.0
364,6.0
365,0.0
366,1.0
367,1.0
368,14.0
369,4.0
370,4.0
371,8.0
372,0.0
