,0
0,9.0
1,8.0
2,8.0
3,11.0
4,20.0
5,0.0
6,14.0
7,8.0
8,0.0
9,22.0
10,0.0
11,8.0
12,0.0
13,2.0
14,2.0
15,0.0
16,0.0
17,0.0
18,22.0
19,0.0
20,0.0
21,0.0
22,0.0
23,7.0
24,0.0
25,0.0
26,0.0
27,8.0
28,0.0
29,0.0
30,0.0
31,15.0
32,0.0
33,15.0
34,18.0
35,0.0
36,8.0
37,3.0
38,20.0
39,8.0
40,11.0
41,22.0
42,0.0
43,8.0
44,0.0
45,0.0
46,8.0
47,8.0
48,20.0
49,7.0
50,0.0
51,0.0
52,0.0
53,7.0
54,0.0
55,15.0
56,14.0
57,0.0
58,0.0
59,0.0
60,0.0
61,10.0
62,0.0
63,8.0
64,0.0
65,0.0
66,6.0
67,7.0
68,10.0
69,20.0
70,7.0
71,0.0
72,9.0
73,8.0
74,0.0
75,0.0
76,8.0
77,8.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,13.0
84,6.0
85,18.0
86,0.0
87,20.0
88,0.0
89,0.0
90,8.0
91,0.0
92,0.0
93,4.0
94,0.0
95,0.0
96,0.0
97,8.0
98,15.0
99,0.0
100,8.0
101,14.0
102,2.0
103,8.0
104,20.0
105,0.0
106,6.0
107,20.0
108,6.0
109,8.0
110,12.0
111,13.0
112,0.0
113,0.0
114,4.0
115,0.0
116,0.0
117,22.0
118,0.0
119,0.0
120,9.0
121,2.0
122,21.0
123,21.0
124,8.0
125,0.0
126,14.0
127,0.0
128,0.0
129,13.0
130,0.0
131,21.0
132,22.0
133,18.0
134,20.0
135,0.0
136,8.0
137,6.0
138,20.0
139,13.0
140,0.0
141,18.0
142,22.0
143,8.0
144,0.0
145,0.0
146,8.0
147,1.0
148,8.0
149,22.0
150,22.0
151,20.0
152,13.0
153,8.0
154,0.0
155,20.0
156,0.0
157,8.0
158,0.0
159,0.0
160,0.0
161,8.0
162,22.0
163,22.0
164,0.0
165,0.0
166,10.0
167,6.0
168,20.0
169,20.0
170,6.0
171,0.0
172,0.0
173,0.0
174,0.0
175,6.0
176,18.0
177,15.0
178,0.0
179,0.0
180,0.0
181,20.0
182,0.0
183,0.0
184,8.0
185,16.0
186,6.0
187,0.0
188,6.0
189,6.0
190,8.0
191,0.0
192,8.0
193,0.0
194,1.0
195,8.0
196,0.0
197,13.0
198,8.0
199,0.0
200,2.0
201,22.0
202,8.0
203,0.0
204,0.0
205,13.0
206,8.0
207,5.0
208,0.0
209,0.0
210,8.0
211,0.0
212,0.0
213,18.0
214,0.0
215,7.0
216,0.0
217,13.0
218,6.0
219,0.0
220,8.0
221,0.0
222,6.0
223,0.0
224,8.0
225,8.0
226,0.0
227,7.0
228,0.0
229,8.0
230,0.0
231,20.0
232,8.0
233,0.0
234,15.0
235,8.0
236,11.0
237,19.0
238,8.0
239,7.0
240,0.0
241,15.0
242,0.0
243,8.0
244,15.0
245,8.0
246,8.0
247,0.0
248,6.0
249,6.0
250,8.0
251,16.0
252,6.0
253,19.0
254,0.0
255,0.0
256,0.0
257,0.0
258,18.0
259,15.0
260,22.0
261,13.0
262,0.0
263,0.0
264,0.0
265,0.0
266,8.0
267,0.0
268,11.0
269,8.0
270,20.0
271,8.0
272,8.0
273,6.0
274,15.0
275,0.0
276,0.0
277,6.0
278,0.0
279,8.0
280,0.0
281,2.0
282,0.0
283,10.0
284,3.0
285,0.0
286,0.0
287,20.0
288,3.0
289,0.0
290,0.0
291,8.0
292,0.0
293,14.0
294,0.0
295,0.0
296,3.0
297,8.0
298,3.0
299,0.0
300,0.0
301,0.0
302,19.0
303,3.0
304,0.0
305,13.0
306,0.0
307,0.0
308,8.0
309,6.0
310,7.0
311,0.0
312,0.0
313,6.0
314,0.0
315,22.0
316,0.0
317,7.0
318,13.0
319,3.0
320,0.0
321,4.0
322,0.0
323,5.0
324,0.0
325,0.0
326,0.0
327,6.0
328,0.0
329,0.0
330,0.0
331,0.0
332,15.0
333,18.0
334,0.0
335,0.0
336,6.0
337,22.0
338,9.0
339,8.0
340,8.0
341,0.0
342,0.0
343,9.0
344,0.0
345,0.0
346,13.0
347,9.0
348,0.0
349,13.0
350,8.0
351,0.0
352,3.0
353,8.0
354,0.0
355,8.0
356,6.0
357,20.0
358,0.0
359,6.0
360,8.0
361,6.0
362,0.0
363,13.0
364,0.0
365,0.0
366,0.0
367,0.0
