,0
0,1.0
1,4.0
2,14.0
3,14.0
4,21.0
5,19.0
6,4.0
7,15.0
8,15.0
9,20.0
10,19.0
11,15.0
12,14.0
13,20.0
14,21.0
15,14.0
16,21.0
17,18.0
18,21.0
19,21.0
20,15.0
21,21.0
22,20.0
23,21.0
24,21.0
25,15.0
26,15.0
27,20.0
28,13.0
29,20.0
30,13.0
31,14.0
32,21.0
33,21.0
34,18.0
35,14.0
36,14.0
37,21.0
38,21.0
39,21.0
40,21.0
41,4.0
42,8.0
43,8.0
44,20.0
45,20.0
46,20.0
47,20.0
48,21.0
49,20.0
50,21.0
51,20.0
52,19.0
53,19.0
54,21.0
55,20.0
56,14.0
57,21.0
58,19.0
59,19.0
60,21.0
61,1.0
62,2.0
63,8.0
64,11.0
65,0.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,11.0
72,1.0
73,6.0
74,0.0
75,0.0
76,7.0
77,16.0
78,18.0
79,22.0
80,0.0
81,0.0
82,0.0
83,1.0
84,13.0
85,1.0
86,5.0
87,1.0
88,2.0
89,22.0
90,10.0
91,0.0
92,2.0
93,1.0
94,2.0
95,20.0
96,5.0
97,12.0
98,1.0
99,5.0
100,14.0
101,1.0
102,1.0
103,21.0
104,1.0
105,2.0
106,1.0
107,1.0
108,1.0
109,7.0
110,1.0
111,1.0
112,12.0
113,0.0
114,1.0
115,0.0
116,19.0
117,1.0
118,1.0
119,2.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,2.0
126,1.0
127,0.0
128,3.0
129,1.0
130,11.0
131,1.0
132,1.0
133,1.0
134,1.0
135,2.0
136,3.0
137,3.0
138,1.0
139,1.0
140,5.0
141,1.0
142,1.0
143,21.0
144,2.0
145,21.0
146,12.0
147,1.0
148,15.0
149,1.0
150,1.0
151,1.0
152,1.0
153,10.0
154,1.0
155,1.0
156,11.0
157,8.0
158,1.0
159,0.0
160,0.0
161,8.0
162,1.0
163,1.0
164,11.0
165,2.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,0.0
172,11.0
173,22.0
174,11.0
175,1.0
176,1.0
177,1.0
178,22.0
179,1.0
180,4.0
181,1.0
182,0.0
183,22.0
184,7.0
185,1.0
186,1.0
187,2.0
188,1.0
189,1.0
190,12.0
191,0.0
192,7.0
193,5.0
194,1.0
195,10.0
196,2.0
197,1.0
198,18.0
199,5.0
200,1.0
201,1.0
202,15.0
203,2.0
204,19.0
205,1.0
206,3.0
207,1.0
208,11.0
209,7.0
210,21.0
211,1.0
212,22.0
213,1.0
214,11.0
215,1.0
216,11.0
217,1.0
218,1.0
219,22.0
220,7.0
221,19.0
222,1.0
223,2.0
224,1.0
225,18.0
226,0.0
227,1.0
228,2.0
229,8.0
230,22.0
231,1.0
232,3.0
233,1.0
234,1.0
235,7.0
236,1.0
237,1.0
238,14.0
239,1.0
240,0.0
241,1.0
242,7.0
243,3.0
244,1.0
245,10.0
246,1.0
247,0.0
248,1.0
249,1.0
250,13.0
251,1.0
252,1.0
253,1.0
254,22.0
255,2.0
256,0.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,22.0
263,2.0
264,11.0
265,22.0
266,16.0
267,22.0
268,1.0
269,15.0
270,1.0
271,8.0
272,12.0
273,1.0
274,1.0
275,5.0
276,5.0
277,1.0
278,1.0
279,19.0
280,5.0
281,1.0
282,2.0
283,1.0
284,1.0
285,9.0
286,0.0
287,1.0
288,1.0
289,5.0
290,2.0
291,7.0
292,5.0
293,1.0
294,17.0
295,0.0
296,1.0
297,3.0
298,1.0
299,0.0
300,5.0
301,5.0
302,1.0
303,1.0
304,1.0
305,1.0
306,0.0
307,2.0
308,7.0
309,1.0
310,1.0
311,8.0
312,4.0
313,1.0
314,2.0
315,1.0
316,0.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,16.0
323,1.0
324,11.0
325,19.0
326,0.0
327,1.0
328,14.0
329,10.0
330,5.0
331,5.0
332,1.0
333,1.0
334,1.0
335,0.0
336,1.0
337,1.0
338,1.0
339,1.0
340,20.0
341,2.0
342,3.0
343,1.0
344,11.0
345,0.0
346,1.0
347,1.0
348,2.0
349,1.0
350,13.0
351,7.0
352,1.0
353,19.0
354,1.0
355,1.0
356,1.0
357,1.0
358,5.0
359,1.0
360,8.0
361,1.0
362,22.0
363,12.0
364,1.0
365,5.0
366,12.0
367,22.0
368,1.0
369,1.0
370,1.0
371,1.0
372,5.0
373,11.0
374,5.0
375,17.0
376,1.0
377,1.0
378,1.0
379,2.0
380,1.0
381,1.0
382,22.0
383,15.0
384,11.0
385,0.0
386,1.0
387,1.0
388,5.0
389,1.0
390,22.0
391,1.0
392,19.0
393,1.0
394,2.0
395,1.0
396,1.0
397,22.0
398,1.0
399,16.0
400,11.0
401,1.0
402,4.0
403,1.0
404,1.0
405,14.0
406,1.0
407,1.0
408,1.0
409,1.0
410,6.0
411,12.0
412,1.0
413,10.0
414,0.0
415,1.0
416,1.0
417,1.0
418,22.0
419,0.0
420,20.0
421,0.0
422,1.0
423,11.0
424,1.0
425,2.0
426,0.0
427,2.0
428,0.0
429,13.0
430,1.0
431,1.0
432,22.0
433,1.0
434,1.0
435,9.0
436,1.0
437,8.0
438,20.0
439,15.0
440,5.0
441,15.0
442,1.0
443,0.0
444,13.0
445,1.0
446,5.0
447,0.0
448,0.0
449,5.0
450,1.0
451,2.0
452,1.0
453,5.0
454,6.0
455,9.0
456,11.0
457,9.0
458,3.0
459,5.0
460,1.0
461,0.0
462,0.0
463,15.0
464,1.0
465,1.0
466,22.0
467,5.0
468,1.0
469,5.0
470,1.0
471,22.0
472,0.0
473,0.0
474,1.0
475,1.0
476,3.0
477,22.0
478,0.0
479,1.0
480,1.0
481,1.0
482,1.0
483,5.0
484,13.0
485,5.0
486,1.0
487,1.0
488,20.0
489,1.0
490,1.0
491,1.0
492,4.0
493,1.0
494,1.0
495,2.0
496,1.0
497,1.0
498,1.0
499,11.0
500,1.0
501,0.0
502,1.0
503,3.0
504,1.0
505,1.0
506,1.0
507,1.0
508,11.0
509,5.0
510,5.0
511,19.0
512,1.0
513,1.0
514,1.0
515,5.0
516,1.0
517,9.0
518,1.0
519,5.0
520,12.0
521,14.0
522,1.0
523,13.0
524,1.0
525,1.0
526,1.0
527,11.0
528,1.0
529,0.0
530,11.0
531,1.0
532,1.0
533,0.0
534,1.0
535,6.0
536,1.0
537,11.0
538,12.0
539,0.0
540,11.0
541,1.0
542,1.0
543,1.0
544,1.0
545,1.0
546,1.0
547,22.0
548,7.0
549,5.0
550,1.0
551,2.0
552,1.0
553,2.0
554,6.0
555,1.0
556,1.0
557,2.0
558,1.0
559,1.0
560,0.0
561,1.0
562,0.0
563,1.0
564,2.0
565,1.0
566,8.0
567,1.0
568,1.0
569,0.0
570,1.0
571,12.0
572,5.0
573,1.0
574,1.0
575,1.0
576,1.0
577,5.0
578,22.0
579,22.0
580,4.0
581,10.0
582,1.0
583,1.0
584,13.0
585,1.0
586,1.0
587,3.0
588,9.0
589,22.0
590,1.0
591,2.0
592,1.0
593,18.0
594,1.0
595,5.0
596,1.0
597,1.0
598,0.0
599,8.0
600,3.0
601,11.0
602,11.0
603,1.0
604,1.0
605,21.0
606,1.0
607,1.0
608,13.0
609,13.0
610,11.0
611,1.0
612,11.0
613,5.0
614,1.0
615,6.0
616,5.0
617,1.0
618,1.0
619,1.0
620,1.0
621,1.0
622,0.0
623,1.0
624,1.0
625,0.0
626,1.0
627,5.0
628,5.0
629,1.0
630,1.0
631,1.0
632,1.0
633,2.0
634,1.0
635,17.0
636,1.0
637,14.0
638,1.0
639,11.0
640,11.0
641,5.0
642,9.0
643,1.0
644,1.0
645,2.0
646,0.0
647,0.0
648,2.0
649,0.0
650,11.0
651,9.0
652,1.0
653,0.0
654,5.0
655,1.0
656,1.0
657,3.0
658,1.0
659,2.0
660,0.0
661,1.0
662,1.0
663,1.0
664,1.0
665,0.0
666,13.0
667,1.0
668,7.0
669,3.0
670,1.0
671,0.0
672,1.0
673,5.0
674,1.0
675,1.0
676,1.0
677,11.0
678,8.0
679,1.0
680,11.0
681,22.0
682,11.0
683,1.0
684,2.0
685,1.0
686,18.0
687,5.0
688,2.0
689,0.0
690,2.0
691,5.0
692,1.0
693,2.0
694,1.0
695,1.0
696,1.0
697,1.0
698,3.0
699,1.0
700,0.0
701,18.0
702,1.0
703,5.0
704,12.0
705,1.0
706,1.0
707,15.0
708,12.0
709,0.0
710,2.0
711,22.0
712,1.0
713,22.0
714,2.0
715,0.0
716,2.0
717,0.0
718,1.0
719,1.0
720,13.0
721,5.0
722,1.0
723,2.0
724,1.0
725,10.0
726,6.0
727,2.0
728,1.0
729,1.0
730,8.0
731,22.0
732,1.0
733,8.0
734,2.0
735,1.0
736,0.0
737,1.0
738,5.0
739,1.0
740,1.0
741,12.0
742,6.0
743,12.0
744,2.0
745,2.0
746,1.0
747,1.0
748,13.0
749,1.0
750,1.0
751,1.0
752,0.0
753,11.0
754,1.0
755,1.0
756,5.0
757,1.0
758,15.0
759,22.0
760,1.0
761,0.0
762,5.0
763,19.0
764,1.0
765,1.0
766,22.0
767,5.0
768,0.0
769,2.0
770,1.0
771,1.0
772,9.0
773,1.0
774,2.0
775,1.0
776,11.0
777,0.0
778,1.0
779,1.0
780,1.0
781,0.0
782,1.0
783,1.0
784,1.0
785,1.0
786,1.0
787,0.0
788,1.0
789,1.0
790,1.0
791,0.0
792,1.0
793,11.0
794,2.0
795,1.0
796,1.0
797,20.0
798,1.0
799,1.0
800,1.0
801,3.0
802,21.0
803,1.0
804,1.0
805,1.0
806,5.0
807,1.0
808,1.0
809,13.0
810,11.0
811,1.0
812,17.0
813,5.0
814,1.0
815,18.0
816,2.0
817,1.0
818,1.0
819,18.0
820,0.0
821,1.0
822,2.0
823,1.0
824,1.0
825,2.0
826,2.0
827,13.0
828,1.0
829,0.0
830,1.0
831,1.0
832,15.0
833,1.0
834,1.0
835,1.0
836,11.0
837,1.0
838,1.0
839,1.0
840,5.0
841,1.0
842,1.0
843,20.0
844,5.0
845,1.0
846,10.0
847,0.0
848,6.0
849,5.0
850,20.0
