,0
0,8.0
1,0.0
2,0.0
3,19.0
4,22.0
5,19.0
6,2.0
7,10.0
8,9.0
9,2.0
10,10.0
11,15.0
12,10.0
13,9.0
14,19.0
15,10.0
16,10.0
17,0.0
18,1.0
19,10.0
20,10.0
21,10.0
22,19.0
23,14.0
24,19.0
25,10.0
26,19.0
27,10.0
28,10.0
29,10.0
30,10.0
31,17.0
32,19.0
33,20.0
34,1.0
35,3.0
36,18.0
37,14.0
38,2.0
39,19.0
40,9.0
41,14.0
42,19.0
43,10.0
44,10.0
45,10.0
46,2.0
47,0.0
48,11.0
49,15.0
50,10.0
51,0.0
52,10.0
53,14.0
54,0.0
55,7.0
56,7.0
57,0.0
58,10.0
59,10.0
60,19.0
61,1.0
62,10.0
63,18.0
64,10.0
65,0.0
66,12.0
67,17.0
68,14.0
69,22.0
70,9.0
71,10.0
72,17.0
73,18.0
74,0.0
75,0.0
76,19.0
77,0.0
78,10.0
79,19.0
80,0.0
81,0.0
82,10.0
83,11.0
84,19.0
85,9.0
86,10.0
87,11.0
88,10.0
89,10.0
90,19.0
91,0.0
92,10.0
93,14.0
94,10.0
95,10.0
96,19.0
97,10.0
98,8.0
99,10.0
100,19.0
101,9.0
102,14.0
103,19.0
104,14.0
105,10.0
106,9.0
107,9.0
108,12.0
109,18.0
110,20.0
111,15.0
112,0.0
113,0.0
114,7.0
115,0.0
116,5.0
117,16.0
118,3.0
119,10.0
120,2.0
121,2.0
122,2.0
123,11.0
124,17.0
125,10.0
126,13.0
127,0.0
128,18.0
129,1.0
130,10.0
131,20.0
132,11.0
133,2.0
134,8.0
135,10.0
136,10.0
137,10.0
138,14.0
139,6.0
140,10.0
141,8.0
142,17.0
143,10.0
144,10.0
145,19.0
146,10.0
147,9.0
148,0.0
149,22.0
150,22.0
151,16.0
152,14.0
153,18.0
154,14.0
155,10.0
156,10.0
157,19.0
158,7.0
159,0.0
160,0.0
161,0.0
162,15.0
163,17.0
164,10.0
165,10.0
166,7.0
167,13.0
168,10.0
169,16.0
170,20.0
171,0.0
172,10.0
173,19.0
174,10.0
175,20.0
176,15.0
177,2.0
178,19.0
179,19.0
180,10.0
181,16.0
182,0.0
183,10.0
184,19.0
185,21.0
186,17.0
187,10.0
188,2.0
189,20.0
190,18.0
191,0.0
192,10.0
193,10.0
194,20.0
195,18.0
196,10.0
197,2.0
198,0.0
199,10.0
200,1.0
201,15.0
202,10.0
203,10.0
204,18.0
205,9.0
206,5.0
207,18.0
208,10.0
209,10.0
210,10.0
211,17.0
212,19.0
213,22.0
214,10.0
215,13.0
216,10.0
217,14.0
218,22.0
219,19.0
220,5.0
221,0.0
222,7.0
223,8.0
224,2.0
225,18.0
226,0.0
227,12.0
228,10.0
229,19.0
230,19.0
231,14.0
232,10.0
233,17.0
234,14.0
235,0.0
236,15.0
237,1.0
238,5.0
239,14.0
240,0.0
241,9.0
242,10.0
243,10.0
244,8.0
245,18.0
246,2.0
247,0.0
248,22.0
249,14.0
250,10.0
251,14.0
252,15.0
253,6.0
254,19.0
255,10.0
256,0.0
257,11.0
258,17.0
259,20.0
260,14.0
261,16.0
262,19.0
263,10.0
264,10.0
265,19.0
266,10.0
267,19.0
268,18.0
269,19.0
270,20.0
271,10.0
272,10.0
273,7.0
274,11.0
275,10.0
276,10.0
277,7.0
278,14.0
279,10.0
280,10.0
281,10.0
282,10.0
283,16.0
284,1.0
285,19.0
286,0.0
287,17.0
288,15.0
289,10.0
290,10.0
291,10.0
292,10.0
293,2.0
294,18.0
295,0.0
296,15.0
297,19.0
298,14.0
299,0.0
300,10.0
301,10.0
302,9.0
303,22.0
304,17.0
305,11.0
306,0.0
307,10.0
308,19.0
309,19.0
310,22.0
311,19.0
312,10.0
313,11.0
314,10.0
315,1.0
316,19.0
317,11.0
318,20.0
319,1.0
320,11.0
321,15.0
322,10.0
323,17.0
324,10.0
325,19.0
326,0.0
327,1.0
328,18.0
329,18.0
330,10.0
331,10.0
332,20.0
333,15.0
334,10.0
335,0.0
336,22.0
337,1.0
338,11.0
339,15.0
340,5.0
341,10.0
342,18.0
343,11.0
344,10.0
345,0.0
346,9.0
347,11.0
348,10.0
349,9.0
350,10.0
351,19.0
352,9.0
353,19.0
354,16.0
355,11.0
356,20.0
357,21.0
358,10.0
359,15.0
360,5.0
361,17.0
362,19.0
363,18.0
364,21.0
365,10.0
366,0.0
367,19.0
368,14.0
369,14.0
370,21.0
371,2.0
372,10.0
373,10.0
