,0
0,1.0
1,12.0
2,4.0
3,12.0
4,12.0
5,12.0
6,12.0
7,12.0
8,12.0
9,7.0
10,6.0
11,12.0
12,12.0
13,7.0
14,11.0
15,6.0
16,2.0
17,0.0
18,12.0
19,10.0
20,9.0
21,9.0
22,6.0
23,1.0
24,5.0
25,12.0
26,12.0
27,4.0
28,5.0
29,9.0
30,3.0
31,12.0
32,3.0
33,12.0
34,12.0
35,3.0
36,11.0
37,1.0
38,7.0
39,12.0
40,7.0
41,7.0
42,0.0
43,14.0
44,8.0
45,2.0
46,12.0
47,12.0
48,7.0
49,7.0
50,5.0
51,0.0
52,12.0
53,7.0
54,0.0
55,7.0
56,7.0
57,0.0
58,6.0
59,8.0
60,0.0
61,7.0
62,6.0
63,13.0
64,9.0
65,0.0
66,7.0
67,7.0
68,7.0
69,7.0
70,7.0
71,9.0
72,7.0
73,4.0
74,0.0
75,0.0
76,11.0
77,14.0
78,10.0
79,5.0
80,0.0
81,0.0
82,9.0
83,7.0
84,10.0
85,7.0
86,2.0
87,7.0
88,6.0
89,3.0
90,12.0
91,0.0
92,6.0
93,7.0
94,6.0
95,10.0
96,8.0
97,13.0
98,7.0
99,8.0
100,10.0
101,7.0
102,7.0
103,10.0
104,7.0
105,6.0
106,7.0
107,7.0
108,7.0
109,11.0
110,7.0
111,7.0
112,13.0
113,0.0
114,7.0
115,0.0
116,10.0
117,7.0
118,7.0
119,6.0
120,7.0
121,7.0
122,7.0
123,7.0
124,7.0
125,6.0
126,7.0
127,0.0
128,0.0
129,7.0
130,9.0
131,7.0
132,7.0
133,7.0
134,7.0
135,6.0
136,0.0
137,0.0
138,7.0
139,7.0
140,8.0
141,7.0
142,7.0
143,10.0
144,6.0
145,10.0
146,13.0
147,7.0
148,4.0
149,7.0
150,7.0
151,7.0
152,7.0
153,12.0
154,7.0
155,7.0
156,9.0
157,13.0
158,7.0
159,0.0
160,0.0
161,13.0
162,7.0
163,7.0
164,9.0
165,6.0
166,7.0
167,7.0
168,7.0
169,7.0
170,7.0
171,0.0
172,8.0
173,5.0
174,8.0
175,7.0
176,7.0
177,7.0
178,5.0
179,7.0
180,0.0
181,7.0
182,0.0
183,3.0
184,11.0
185,7.0
186,7.0
187,6.0
188,7.0
189,7.0
190,3.0
191,0.0
192,11.0
193,8.0
194,7.0
195,12.0
196,6.0
197,7.0
198,10.0
199,9.0
200,7.0
201,7.0
202,4.0
203,6.0
204,10.0
205,7.0
206,3.0
207,7.0
208,9.0
209,11.0
210,10.0
211,7.0
212,5.0
213,7.0
214,9.0
215,7.0
216,2.0
217,7.0
218,7.0
219,5.0
220,11.0
221,10.0
222,7.0
223,6.0
224,7.0
225,10.0
226,0.0
227,7.0
228,6.0
229,13.0
230,5.0
231,7.0
232,3.0
233,7.0
234,7.0
235,11.0
236,1.0
237,7.0
238,10.0
239,7.0
240,0.0
241,7.0
242,11.0
243,0.0
244,7.0
245,12.0
246,7.0
247,0.0
248,7.0
249,7.0
250,10.0
251,7.0
252,7.0
253,7.0
254,5.0
255,6.0
256,0.0
257,7.0
258,7.0
259,7.0
260,7.0
261,7.0
262,5.0
263,6.0
264,9.0
265,5.0
266,14.0
267,5.0
268,7.0
269,4.0
270,7.0
271,13.0
272,13.0
273,7.0
274,7.0
275,9.0
276,8.0
277,7.0
278,7.0
279,10.0
280,9.0
281,7.0
282,6.0
283,7.0
284,7.0
285,11.0
286,0.0
287,7.0
288,7.0
289,8.0
290,6.0
291,11.0
292,9.0
293,7.0
294,10.0
295,0.0
296,7.0
297,3.0
298,7.0
299,0.0
300,9.0
301,8.0
302,7.0
303,7.0
304,7.0
305,7.0
306,0.0
307,6.0
308,11.0
309,7.0
310,7.0
311,11.0
312,0.0
313,7.0
314,6.0
315,7.0
316,0.0
317,7.0
318,7.0
319,7.0
320,7.0
321,7.0
322,14.0
323,7.0
324,9.0
325,10.0
326,0.0
327,7.0
328,10.0
329,12.0
330,8.0
331,8.0
332,7.0
333,7.0
334,7.0
335,0.0
336,7.0
337,7.0
338,7.0
339,7.0
340,10.0
341,6.0
342,3.0
343,7.0
344,8.0
345,0.0
346,7.0
347,7.0
348,6.0
349,7.0
350,4.0
351,11.0
352,7.0
353,10.0
354,7.0
355,7.0
356,7.0
357,7.0
358,2.0
359,7.0
360,13.0
361,7.0
362,5.0
363,3.0
364,7.0
365,8.0
366,13.0
367,5.0
368,7.0
369,7.0
370,7.0
371,7.0
372,9.0
373,8.0
374,9.0
375,12.0
376,7.0
377,7.0
378,7.0
379,6.0
380,7.0
381,7.0
382,5.0
383,10.0
384,8.0
385,0.0
386,1.0
387,7.0
388,2.0
389,7.0
390,5.0
391,7.0
392,10.0
393,7.0
394,6.0
395,7.0
396,7.0
397,5.0
398,1.0
399,14.0
400,9.0
401,7.0
402,0.0
403,7.0
404,7.0
405,10.0
406,7.0
407,7.0
408,7.0
409,7.0
410,4.0
411,13.0
412,7.0
413,12.0
414,0.0
415,7.0
416,7.0
417,7.0
418,5.0
419,0.0
420,10.0
421,0.0
422,7.0
423,9.0
424,7.0
425,6.0
426,0.0
427,6.0
428,0.0
429,10.0
430,7.0
431,7.0
432,5.0
433,7.0
434,7.0
435,3.0
436,7.0
437,12.0
438,10.0
439,10.0
440,8.0
