,0
0,9.0
1,4.0
2,4.0
3,0.0
4,9.0
5,0.0
6,6.0
7,4.0
8,14.0
9,6.0
10,0.0
11,9.0
12,0.0
13,2.0
14,0.0
15,0.0
16,0.0
17,0.0
18,2.0
19,0.0
20,0.0
21,0.0
22,0.0
23,10.0
24,0.0
25,0.0
26,0.0
27,4.0
28,0.0
29,0.0
30,0.0
31,9.0
32,0.0
33,7.0
34,7.0
35,8.0
36,0.0
37,7.0
38,3.0
39,0.0
40,11.0
41,9.0
42,0.0
43,14.0
44,0.0
45,0.0
46,10.0
47,4.0
48,7.0
49,11.0
50,0.0
51,0.0
52,0.0
53,14.0
54,0.0
55,4.0
56,3.0
57,0.0
58,0.0
59,0.0
60,0.0
61,11.0
62,0.0
63,4.0
64,0.0
65,0.0
66,14.0
67,6.0
68,2.0
69,8.0
70,6.0
71,0.0
72,3.0
73,4.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,11.0
84,0.0
85,4.0
86,0.0
87,14.0
88,0.0
89,4.0
90,0.0
91,0.0
92,0.0
93,13.0
94,0.0
95,0.0
96,4.0
97,0.0
98,2.0
99,0.0
100,0.0
101,2.0
102,14.0
103,4.0
104,10.0
105,0.0
106,2.0
107,10.0
108,7.0
109,0.0
110,11.0
111,7.0
112,4.0
113,0.0
114,2.0
115,0.0
116,0.0
117,0.0
118,9.0
119,0.0
120,12.0
121,13.0
122,11.0
123,7.0
124,9.0
125,0.0
126,14.0
127,0.0
128,0.0
129,1.0
130,0.0
131,8.0
132,5.0
133,6.0
134,14.0
135,0.0
136,0.0
137,0.0
138,6.0
139,14.0
140,0.0
141,5.0
142,12.0
143,4.0
144,0.0
145,4.0
146,0.0
147,10.0
148,4.0
149,9.0
150,2.0
151,14.0
152,10.0
153,0.0
154,12.0
155,2.0
156,0.0
157,4.0
158,11.0
159,0.0
160,0.0
161,4.0
162,7.0
163,4.0
164,0.0
165,0.0
166,8.0
167,14.0
168,0.0
169,6.0
170,10.0
171,0.0
172,0.0
173,0.0
174,0.0
175,6.0
176,12.0
177,14.0
178,0.0
179,5.0
180,4.0
181,11.0
182,0.0
183,0.0
184,0.0
185,6.0
186,0.0
187,0.0
188,14.0
189,7.0
190,0.0
191,0.0
192,0.0
193,0.0
194,6.0
195,0.0
196,0.0
197,6.0
198,4.0
199,0.0
200,2.0
201,6.0
202,0.0
203,0.0
204,0.0
205,6.0
206,0.0
207,4.0
208,0.0
209,0.0
210,4.0
211,1.0
212,0.0
213,9.0
214,0.0
215,1.0
216,0.0
217,5.0
218,11.0
219,0.0
220,0.0
221,0.0
222,4.0
223,0.0
224,9.0
225,4.0
226,0.0
227,7.0
228,0.0
229,4.0
230,0.0
231,7.0
232,0.0
233,0.0
234,11.0
235,0.0
236,12.0
237,2.0
238,4.0
239,2.0
240,0.0
241,0.0
242,0.0
243,4.0
244,11.0
245,0.0
246,2.0
247,0.0
248,2.0
249,6.0
250,4.0
251,5.0
252,14.0
253,9.0
254,0.0
255,0.0
256,0.0
257,2.0
258,12.0
259,7.0
260,2.0
261,7.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,6.0
269,0.0
270,7.0
271,4.0
272,0.0
273,14.0
274,10.0
275,0.0
276,0.0
277,4.0
278,0.0
279,0.0
280,0.0
281,10.0
282,0.0
283,14.0
284,7.0
285,0.0
286,0.0
287,6.0
288,1.0
289,0.0
290,0.0
291,0.0
292,0.0
293,8.0
294,0.0
295,0.0
296,8.0
297,0.0
298,8.0
299,0.0
300,0.0
301,0.0
302,0.0
303,11.0
304,4.0
305,10.0
306,0.0
307,0.0
308,0.0
309,14.0
310,1.0
311,4.0
312,4.0
313,2.0
