,0
0,0.0
1,14.0
2,14.0
3,2.0
4,2.0
5,9.0
6,7.0
7,4.0
8,11.0
9,9.0
10,2.0
11,9.0
12,1.0
13,2.0
14,9.0
15,11.0
16,2.0
17,7.0
18,3.0
19,1.0
20,6.0
21,6.0
22,5.0
23,10.0
24,11.0
25,8.0
26,2.0
27,0.0
28,1.0
29,2.0
30,10.0
31,11.0
32,5.0
33,9.0
34,10.0
35,5.0
36,1.0
37,12.0
38,2.0
39,2.0
40,11.0
41,8.0
42,2.0
43,8.0
44,1.0
45,8.0
46,3.0
47,1.0
48,5.0
49,8.0
50,8.0
51,2.0
52,6.0
53,7.0
54,11.0
55,10.0
56,6.0
57,8.0
58,11.0
59,5.0
60,2.0
61,5.0
62,2.0
63,11.0
64,5.0
65,12.0
66,1.0
67,11.0
68,1.0
69,8.0
70,11.0
71,11.0
72,1.0
73,6.0
74,1.0
75,6.0
76,1.0
77,1.0
78,1.0
79,1.0
80,8.0
81,1.0
82,8.0
83,1.0
84,6.0
85,8.0
86,8.0
87,6.0
88,1.0
89,8.0
90,1.0
91,6.0
92,6.0
93,2.0
94,6.0
95,11.0
96,2.0
97,11.0
98,7.0
99,7.0
100,11.0
101,6.0
102,6.0
103,1.0
104,6.0
105,5.0
106,1.0
107,6.0
108,6.0
109,11.0
110,8.0
111,6.0
112,11.0
113,8.0
114,11.0
115,6.0
116,6.0
117,11.0
118,6.0
119,3.0
120,6.0
121,11.0
122,6.0
123,5.0
124,11.0
125,11.0
126,3.0
127,3.0
128,8.0
129,5.0
130,2.0
131,11.0
132,2.0
133,11.0
134,3.0
135,9.0
136,3.0
137,11.0
138,11.0
139,2.0
140,8.0
141,11.0
142,8.0
143,8.0
144,11.0
145,11.0
146,8.0
147,2.0
148,11.0
149,3.0
150,2.0
151,3.0
152,8.0
153,1.0
154,11.0
155,11.0
156,11.0
157,12.0
158,3.0
159,2.0
160,2.0
161,11.0
162,11.0
163,13.0
164,11.0
165,5.0
166,13.0
167,13.0
168,3.0
169,13.0
170,13.0
171,3.0
172,6.0
173,13.0
174,3.0
175,3.0
176,2.0
177,1.0
178,3.0
179,3.0
180,13.0
181,6.0
182,2.0
183,11.0
184,2.0
185,5.0
186,2.0
187,11.0
188,2.0
189,5.0
190,2.0
191,13.0
192,11.0
193,6.0
194,2.0
195,3.0
196,11.0
197,2.0
198,2.0
199,3.0
200,6.0
201,0.0
202,2.0
203,3.0
204,1.0
205,11.0
206,2.0
207,3.0
208,11.0
209,8.0
210,13.0
211,3.0
212,11.0
213,8.0
214,2.0
215,5.0
216,11.0
217,11.0
218,11.0
219,11.0
220,2.0
221,10.0
222,2.0
223,0.0
224,13.0
225,2.0
226,11.0
227,0.0
228,3.0
229,11.0
230,2.0
231,11.0
232,3.0
233,5.0
234,3.0
235,2.0
236,11.0
237,2.0
238,11.0
239,13.0
240,3.0
241,3.0
242,11.0
243,8.0
244,13.0
245,8.0
246,11.0
247,3.0
248,2.0
249,3.0
250,3.0
251,3.0
252,3.0
253,3.0
254,3.0
255,13.0
256,3.0
257,5.0
258,2.0
259,7.0
260,2.0
261,13.0
262,2.0
263,11.0
264,2.0
265,13.0
266,2.0
267,13.0
268,2.0
269,3.0
270,11.0
271,5.0
272,1.0
273,6.0
274,11.0
275,3.0
276,3.0
277,3.0
278,2.0
279,11.0
280,11.0
281,11.0
282,13.0
283,2.0
284,2.0
285,5.0
286,3.0
287,3.0
288,2.0
289,13.0
290,13.0
291,11.0
292,11.0
293,11.0
294,2.0
295,2.0
296,2.0
297,3.0
298,3.0
299,3.0
300,11.0
301,5.0
302,3.0
303,11.0
304,3.0
305,11.0
306,2.0
307,9.0
308,2.0
309,8.0
310,3.0
311,2.0
312,6.0
313,1.0
314,12.0
315,10.0
316,13.0
317,2.0
318,2.0
319,10.0
320,3.0
321,8.0
322,11.0
323,10.0
324,3.0
325,9.0
326,11.0
327,9.0
328,13.0
329,9.0
330,11.0
331,4.0
332,3.0
333,11.0
334,13.0
335,9.0
336,3.0
337,10.0
338,13.0
339,5.0
340,11.0
341,8.0
342,11.0
343,9.0
344,3.0
345,9.0
346,6.0
347,12.0
348,3.0
349,12.0
350,2.0
351,12.0
352,2.0
353,6.0
354,8.0
355,12.0
356,2.0
357,9.0
358,13.0
359,10.0
360,3.0
361,10.0
362,8.0
363,1.0
364,8.0
365,9.0
366,13.0
367,9.0
368,2.0
369,10.0
370,2.0
371,9.0
372,3.0
373,10.0
374,3.0
375,10.0
376,11.0
377,1.0
378,2.0
379,12.0
380,3.0
381,5.0
382,3.0
383,10.0
384,3.0
385,13.0
386,2.0
387,13.0
388,11.0
389,2.0
390,13.0
391,9.0
392,3.0
393,1.0
394,13.0
395,3.0
396,11.0
397,1.0
398,3.0
399,5.0
400,13.0
401,10.0
402,3.0
403,9.0
404,11.0
405,2.0
406,2.0
407,9.0
408,3.0
409,5.0
410,2.0
411,12.0
412,3.0
413,9.0
414,3.0
415,8.0
416,3.0
417,12.0
418,3.0
419,9.0
420,13.0
421,9.0
422,2.0
423,9.0
424,2.0
425,9.0
426,11.0
427,10.0
428,2.0
429,4.0
430,2.0
431,2.0
432,3.0
433,6.0
434,2.0
435,9.0
436,2.0
437,6.0
438,11.0
439,9.0
440,11.0
441,9.0
442,11.0
443,10.0
444,2.0
445,9.0
446,11.0
447,9.0
448,2.0
449,9.0
450,2.0
451,12.0
452,3.0
453,9.0
454,3.0
455,9.0
456,2.0
457,9.0
458,3.0
459,6.0
460,11.0
461,10.0
462,3.0
463,4.0
464,3.0
465,5.0
466,11.0
467,4.0
468,11.0
469,12.0
470,2.0
471,9.0
472,3.0
473,9.0
474,3.0
475,9.0
476,2.0
477,12.0
478,2.0
479,9.0
480,3.0
481,10.0
482,3.0
483,5.0
484,3.0
485,10.0
486,3.0
487,9.0
488,3.0
489,9.0
490,2.0
491,9.0
492,11.0
493,10.0
494,11.0
495,9.0
496,2.0
497,4.0
498,11.0
499,9.0
500,2.0
501,9.0
502,11.0
503,9.0
504,1.0
505,9.0
506,2.0
507,9.0
508,1.0
509,9.0
510,3.0
511,4.0
512,8.0
513,9.0
514,11.0
515,10.0
516,2.0
517,9.0
518,2.0
519,5.0
520,1.0
521,9.0
522,2.0
523,9.0
524,13.0
525,8.0
526,1.0
527,9.0
528,13.0
529,7.0
530,2.0
531,9.0
532,2.0
533,10.0
534,3.0
535,4.0
536,11.0
537,4.0
538,3.0
539,9.0
540,6.0
541,9.0
542,11.0
543,4.0
544,2.0
545,9.0
546,2.0
547,9.0
548,13.0
549,9.0
550,3.0
551,8.0
552,2.0
553,9.0
554,2.0
555,9.0
556,2.0
557,9.0
558,2.0
559,9.0
560,2.0
561,9.0
562,1.0
563,9.0
564,3.0
565,4.0
566,3.0
567,6.0
568,2.0
569,9.0
570,6.0
571,9.0
572,3.0
573,9.0
574,3.0
575,4.0
576,3.0
577,4.0
578,3.0
579,9.0
580,2.0
581,9.0
582,3.0
583,9.0
584,1.0
585,9.0
586,7.0
587,9.0
588,2.0
589,1.0
590,11.0
591,9.0
592,2.0
593,9.0
594,3.0
595,5.0
596,2.0
597,4.0
598,2.0
599,9.0
600,3.0
601,9.0
602,3.0
603,4.0
604,3.0
605,4.0
606,13.0
607,9.0
608,13.0
609,9.0
610,2.0
611,6.0
612,2.0
613,4.0
614,13.0
615,10.0
616,3.0
617,9.0
618,11.0
619,4.0
620,2.0
621,4.0
622,13.0
623,4.0
624,2.0
625,9.0
626,13.0
627,4.0
628,2.0
629,4.0
630,3.0
631,6.0
632,11.0
633,9.0
634,8.0
635,4.0
636,2.0
637,9.0
638,3.0
639,9.0
640,3.0
641,9.0
642,3.0
643,9.0
644,13.0
645,9.0
646,3.0
647,9.0
648,11.0
649,9.0
650,2.0
651,9.0
652,2.0
653,4.0
654,2.0
655,9.0
656,10.0
657,4.0
658,2.0
659,10.0
660,11.0
661,9.0
662,2.0
663,9.0
664,2.0
665,4.0
666,2.0
667,9.0
668,3.0
669,4.0
670,2.0
671,10.0
672,2.0
673,4.0
674,11.0
675,9.0
676,13.0
677,1.0
678,0.0
679,9.0
680,2.0
681,9.0
682,2.0
683,9.0
684,3.0
685,9.0
686,13.0
687,9.0
688,11.0
689,9.0
690,3.0
691,6.0
692,3.0
693,9.0
694,2.0
695,9.0
696,3.0
697,9.0
698,2.0
699,4.0
700,2.0
701,4.0
702,12.0
703,9.0
704,7.0
705,9.0
706,3.0
707,4.0
708,2.0
709,9.0
710,3.0
711,9.0
712,3.0
713,4.0
714,3.0
715,12.0
716,13.0
717,9.0
718,3.0
719,9.0
720,12.0
721,4.0
722,6.0
723,9.0
724,11.0
725,11.0
726,11.0
727,1.0
728,3.0
729,13.0
730,3.0
731,9.0
732,3.0
733,3.0
734,2.0
735,5.0
736,3.0
737,6.0
738,6.0
739,0.0
740,13.0
741,1.0
742,2.0
743,12.0
744,3.0
745,11.0
746,11.0
747,13.0
748,11.0
749,11.0
750,11.0
751,13.0
752,2.0
753,5.0
754,3.0
755,11.0
756,2.0
757,0.0
758,3.0
759,13.0
760,2.0
761,3.0
762,11.0
763,10.0
764,2.0
765,8.0
766,11.0
767,11.0
768,2.0
769,11.0
770,2.0
771,11.0
772,3.0
773,3.0
774,11.0
775,3.0
776,3.0
777,8.0
778,3.0
779,0.0
780,3.0
781,11.0
782,11.0
783,7.0
784,2.0
785,11.0
786,11.0
787,11.0
788,1.0
789,11.0
790,0.0
791,8.0
792,3.0
793,11.0
794,8.0
795,2.0
796,2.0
797,7.0
798,2.0
799,11.0
800,11.0
801,0.0
802,13.0
803,11.0
804,7.0
805,2.0
806,11.0
807,13.0
808,2.0
809,0.0
810,13.0
811,2.0
