,0
0,0.0
1,3.0
2,3.0
3,0.0
4,19.0
5,3.0
6,7.0
7,3.0
8,7.0
9,12.0
10,3.0
11,14.0
12,3.0
13,0.0
14,3.0
15,3.0
16,0.0
17,0.0
18,14.0
19,3.0
20,0.0
21,0.0
22,3.0
23,17.0
24,3.0
25,0.0
26,3.0
27,3.0
28,3.0
29,0.0
30,3.0
31,17.0
32,3.0
33,9.0
34,8.0
35,8.0
36,3.0
37,21.0
38,8.0
39,3.0
40,12.0
41,21.0
42,3.0
43,3.0
44,0.0
45,0.0
46,22.0
47,0.0
48,18.0
49,0.0
50,3.0
51,0.0
52,0.0
53,8.0
54,0.0
55,22.0
56,8.0
57,0.0
58,3.0
59,0.0
60,3.0
61,12.0
62,3.0
63,3.0
64,0.0
65,0.0
66,4.0
67,20.0
68,22.0
69,10.0
70,19.0
71,0.0
72,5.0
73,0.0
74,0.0
75,0.0
76,0.0
77,20.0
78,3.0
79,3.0
80,0.0
81,0.0
82,0.0
83,11.0
84,0.0
85,8.0
86,0.0
87,4.0
88,3.0
89,3.0
90,0.0
91,0.0
92,3.0
93,2.0
94,3.0
95,3.0
96,3.0
97,3.0
98,18.0
99,0.0
100,0.0
101,8.0
102,6.0
103,0.0
104,17.0
105,3.0
106,11.0
107,9.0
108,0.0
109,0.0
110,22.0
111,6.0
112,3.0
113,0.0
114,18.0
115,0.0
116,20.0
117,12.0
118,9.0
119,3.0
120,1.0
121,8.0
122,6.0
123,11.0
124,1.0
125,3.0
126,4.0
127,0.0
128,0.0
129,2.0
130,0.0
131,9.0
132,19.0
133,20.0
134,11.0
135,3.0
136,3.0
137,3.0
138,6.0
139,19.0
140,0.0
141,9.0
142,1.0
143,20.0
144,3.0
145,0.0
146,3.0
147,14.0
148,3.0
149,14.0
150,18.0
151,8.0
152,11.0
153,3.0
154,19.0
155,9.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,3.0
162,2.0
163,12.0
164,0.0
165,3.0
166,7.0
167,15.0
168,19.0
169,16.0
170,21.0
171,0.0
172,0.0
173,3.0
174,0.0
175,0.0
176,18.0
177,4.0
178,3.0
179,9.0
180,3.0
181,4.0
182,0.0
183,3.0
184,0.0
185,11.0
186,6.0
187,3.0
188,11.0
189,17.0
190,0.0
191,0.0
192,0.0
193,0.0
194,9.0
195,3.0
196,3.0
197,18.0
198,3.0
199,0.0
200,4.0
201,9.0
202,16.0
203,3.0
204,0.0
205,22.0
206,3.0
207,8.0
208,0.0
209,3.0
210,3.0
211,12.0
212,3.0
213,12.0
214,0.0
215,2.0
216,0.0
217,9.0
218,9.0
219,3.0
220,0.0
221,3.0
222,3.0
223,3.0
224,7.0
225,20.0
226,0.0
227,1.0
228,3.0
229,3.0
230,3.0
231,11.0
232,3.0
233,12.0
234,10.0
235,0.0
236,12.0
237,2.0
238,3.0
239,4.0
240,0.0
241,22.0
242,0.0
243,3.0
244,11.0
245,3.0
246,6.0
247,0.0
248,19.0
249,22.0
250,0.0
251,2.0
252,8.0
253,4.0
254,3.0
255,3.0
256,0.0
257,21.0
258,18.0
259,10.0
260,10.0
261,11.0
262,3.0
263,3.0
264,0.0
265,3.0
266,0.0
267,3.0
268,0.0
269,3.0
270,22.0
271,3.0
272,3.0
273,0.0
