,0
0,1.0
1,3.0
2,14.0
3,21.0
4,18.0
5,4.0
6,18.0
7,15.0
8,15.0
9,19.0
10,4.0
11,19.0
12,7.0
13,18.0
14,7.0
15,7.0
16,16.0
17,14.0
18,15.0
19,15.0
20,19.0
21,12.0
22,18.0
23,7.0
24,12.0
25,16.0
26,15.0
27,12.0
28,12.0
29,12.0
30,18.0
31,18.0
32,18.0
33,16.0
34,16.0
35,12.0
36,12.0
37,18.0
38,12.0
39,19.0
40,19.0
41,18.0
42,7.0
43,9.0
44,18.0
45,12.0
46,13.0
47,19.0
48,19.0
49,16.0
50,18.0
51,0.0
52,19.0
53,13.0
54,18.0
55,13.0
56,13.0
57,18.0
58,15.0
59,19.0
60,18.0
61,7.0
62,4.0
63,20.0
64,7.0
65,8.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,5.0
72,10.0
73,16.0
74,0.0
75,0.0
76,6.0
77,9.0
78,15.0
79,4.0
80,0.0
81,0.0
82,8.0
83,10.0
84,14.0
85,10.0
86,2.0
87,10.0
88,4.0
89,22.0
90,17.0
91,0.0
92,4.0
93,10.0
94,4.0
95,12.0
96,2.0
97,20.0
98,10.0
99,2.0
100,7.0
101,10.0
102,10.0
103,12.0
104,10.0
105,4.0
106,10.0
107,10.0
108,10.0
109,6.0
110,10.0
111,10.0
112,20.0
113,8.0
114,10.0
115,0.0
116,21.0
117,10.0
118,10.0
119,4.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,4.0
126,10.0
127,8.0
128,8.0
129,10.0
130,5.0
131,10.0
132,10.0
133,10.0
134,10.0
135,4.0
136,11.0
137,8.0
138,10.0
139,10.0
140,2.0
141,10.0
142,10.0
143,14.0
144,4.0
145,21.0
146,20.0
147,10.0
148,11.0
149,10.0
150,10.0
151,10.0
152,10.0
153,17.0
154,10.0
155,10.0
156,5.0
157,20.0
158,10.0
159,8.0
160,0.0
161,20.0
162,10.0
163,10.0
164,5.0
165,4.0
166,10.0
167,10.0
168,10.0
169,10.0
170,10.0
171,0.0
172,2.0
173,4.0
174,5.0
175,10.0
176,10.0
177,10.0
178,4.0
179,10.0
180,3.0
181,10.0
182,0.0
183,22.0
184,6.0
185,10.0
186,10.0
187,4.0
188,10.0
189,10.0
190,11.0
191,8.0
192,6.0
193,2.0
194,10.0
195,17.0
196,4.0
197,10.0
198,15.0
199,5.0
200,10.0
201,10.0
202,15.0
203,4.0
204,15.0
205,10.0
206,20.0
207,10.0
208,5.0
209,6.0
210,19.0
211,10.0
212,4.0
213,10.0
214,5.0
215,10.0
216,5.0
217,10.0
218,10.0
219,4.0
220,13.0
221,7.0
222,10.0
223,4.0
224,1.0
225,15.0
226,0.0
227,10.0
228,4.0
229,6.0
230,4.0
231,10.0
232,16.0
233,10.0
234,10.0
235,6.0
236,10.0
237,10.0
238,14.0
239,10.0
240,0.0
241,10.0
242,13.0
243,11.0
244,10.0
245,17.0
246,10.0
247,8.0
248,10.0
249,10.0
250,14.0
251,10.0
252,10.0
253,10.0
254,4.0
255,4.0
256,8.0
257,10.0
258,10.0
259,10.0
260,1.0
261,10.0
262,4.0
263,4.0
264,5.0
265,4.0
266,9.0
267,4.0
268,10.0
269,21.0
270,10.0
271,13.0
272,20.0
273,10.0
274,10.0
275,5.0
276,2.0
277,10.0
278,10.0
279,15.0
280,2.0
281,10.0
282,4.0
283,10.0
284,10.0
285,13.0
286,0.0
287,10.0
288,10.0
289,2.0
290,4.0
291,6.0
292,5.0
293,10.0
294,21.0
295,8.0
296,10.0
297,11.0
298,10.0
299,8.0
300,5.0
301,2.0
302,10.0
303,10.0
304,10.0
305,10.0
306,0.0
307,4.0
308,6.0
309,10.0
310,10.0
311,20.0
312,3.0
313,10.0
314,4.0
315,10.0
316,11.0
317,10.0
318,10.0
319,10.0
320,10.0
321,10.0
322,9.0
323,10.0
324,5.0
325,15.0
326,8.0
327,10.0
328,7.0
329,17.0
330,2.0
331,2.0
332,10.0
333,10.0
334,10.0
335,0.0
336,10.0
337,10.0
338,10.0
339,10.0
340,18.0
341,4.0
342,22.0
343,10.0
344,5.0
345,0.0
346,10.0
347,10.0
348,4.0
349,10.0
350,16.0
351,6.0
352,10.0
353,16.0
354,10.0
355,10.0
356,1.0
357,10.0
358,2.0
359,10.0
360,13.0
361,10.0
362,4.0
363,11.0
364,10.0
365,2.0
366,20.0
367,4.0
368,10.0
369,10.0
370,10.0
371,10.0
372,5.0
373,5.0
374,5.0
375,6.0
376,10.0
377,10.0
378,10.0
379,4.0
380,10.0
381,10.0
382,4.0
383,15.0
384,5.0
385,8.0
386,10.0
387,10.0
388,2.0
389,10.0
390,4.0
391,10.0
392,16.0
393,10.0
394,4.0
395,10.0
396,10.0
397,4.0
398,10.0
399,9.0
400,5.0
401,10.0
402,3.0
403,10.0
404,10.0
405,14.0
406,10.0
407,10.0
408,10.0
409,10.0
410,21.0
411,11.0
412,10.0
413,17.0
414,8.0
415,10.0
416,10.0
417,10.0
418,4.0
419,8.0
420,14.0
421,11.0
422,10.0
423,5.0
424,10.0
425,4.0
426,8.0
427,4.0
428,8.0
429,7.0
430,10.0
431,10.0
432,4.0
433,10.0
434,10.0
435,13.0
436,10.0
437,6.0
438,12.0
439,21.0
440,2.0
441,6.0
442,10.0
443,8.0
444,7.0
445,10.0
446,5.0
447,0.0
448,8.0
449,5.0
450,10.0
451,4.0
452,10.0
453,2.0
454,16.0
455,20.0
456,5.0
457,13.0
458,20.0
459,2.0
460,10.0
461,8.0
462,8.0
463,14.0
464,10.0
465,10.0
466,4.0
467,2.0
468,10.0
469,2.0
470,10.0
471,4.0
472,8.0
473,8.0
474,10.0
475,10.0
476,5.0
477,4.0
478,8.0
479,10.0
480,10.0
481,10.0
482,10.0
483,2.0
484,15.0
485,5.0
486,10.0
487,10.0
488,16.0
489,10.0
490,10.0
491,10.0
492,3.0
493,10.0
494,10.0
495,4.0
496,10.0
497,10.0
498,10.0
499,5.0
500,10.0
501,8.0
502,10.0
503,2.0
504,10.0
505,10.0
506,10.0
507,10.0
508,5.0
509,5.0
510,2.0
511,16.0
512,10.0
513,10.0
514,10.0
515,2.0
516,10.0
517,13.0
518,10.0
519,2.0
520,11.0
521,14.0
522,10.0
523,15.0
524,10.0
525,10.0
526,10.0
527,5.0
528,10.0
529,8.0
530,5.0
531,10.0
532,10.0
533,0.0
534,10.0
535,16.0
536,10.0
537,5.0
538,20.0
539,0.0
540,5.0
541,10.0
542,10.0
543,10.0
544,10.0
545,10.0
546,10.0
547,4.0
548,6.0
549,2.0
550,10.0
551,4.0
552,10.0
553,4.0
554,3.0
555,10.0
556,10.0
557,4.0
558,10.0
559,10.0
560,8.0
561,10.0
562,8.0
563,10.0
564,4.0
565,10.0
566,20.0
567,10.0
568,10.0
569,0.0
570,10.0
571,11.0
572,2.0
573,10.0
574,10.0
575,10.0
576,10.0
577,2.0
578,4.0
579,4.0
580,11.0
581,17.0
582,10.0
583,10.0
584,15.0
585,10.0
586,10.0
587,13.0
588,13.0
589,4.0
590,10.0
591,4.0
592,1.0
593,15.0
594,10.0
595,5.0
596,10.0
597,10.0
598,8.0
599,13.0
600,17.0
601,5.0
602,5.0
603,10.0
604,10.0
605,7.0
606,10.0
607,10.0
608,15.0
609,7.0
610,2.0
611,10.0
612,5.0
613,2.0
614,10.0
615,16.0
616,2.0
617,10.0
618,10.0
619,10.0
620,10.0
621,10.0
622,8.0
623,1.0
624,10.0
625,8.0
626,10.0
627,2.0
628,2.0
629,10.0
630,10.0
631,10.0
632,10.0
633,4.0
634,10.0
635,16.0
636,10.0
637,21.0
638,10.0
639,5.0
640,5.0
641,2.0
642,13.0
643,10.0
644,10.0
645,4.0
646,8.0
647,0.0
648,4.0
649,0.0
650,5.0
651,3.0
652,10.0
653,0.0
654,2.0
655,10.0
656,10.0
657,20.0
658,10.0
659,4.0
660,8.0
661,10.0
662,10.0
663,10.0
664,10.0
665,0.0
666,15.0
667,10.0
668,13.0
669,5.0
670,10.0
671,8.0
672,10.0
673,2.0
674,10.0
675,10.0
676,10.0
677,5.0
678,13.0
679,10.0
680,5.0
681,4.0
682,5.0
683,10.0
684,4.0
685,10.0
686,15.0
687,2.0
688,4.0
689,0.0
690,4.0
691,2.0
692,10.0
693,4.0
694,10.0
695,10.0
696,10.0
697,10.0
698,11.0
699,10.0
700,0.0
701,7.0
702,10.0
703,2.0
704,11.0
705,10.0
706,10.0
707,15.0
708,20.0
709,8.0
710,4.0
711,4.0
712,10.0
713,4.0
714,4.0
715,0.0
716,4.0
717,8.0
718,10.0
719,10.0
720,0.0
721,5.0
722,10.0
723,4.0
724,10.0
725,17.0
726,3.0
727,4.0
728,10.0
729,10.0
730,20.0
731,4.0
732,10.0
733,20.0
734,4.0
735,10.0
736,8.0
737,10.0
738,2.0
739,10.0
740,10.0
741,11.0
742,16.0
743,20.0
744,4.0
745,4.0
746,10.0
747,10.0
748,12.0
749,10.0
750,10.0
751,10.0
752,8.0
753,5.0
754,10.0
755,10.0
756,2.0
757,10.0
758,13.0
759,4.0
760,10.0
761,11.0
762,2.0
763,16.0
764,10.0
765,10.0
766,4.0
767,2.0
768,0.0
769,4.0
770,10.0
771,10.0
772,13.0
773,10.0
774,4.0
775,10.0
776,5.0
777,0.0
778,10.0
779,10.0
780,10.0
781,8.0
782,10.0
783,10.0
784,10.0
785,10.0
786,10.0
787,8.0
788,10.0
789,1.0
790,10.0
791,8.0
792,10.0
793,5.0
794,4.0
795,10.0
796,10.0
797,18.0
798,10.0
799,10.0
800,10.0
801,20.0
802,7.0
803,10.0
804,10.0
805,10.0
806,2.0
807,1.0
808,10.0
809,15.0
810,5.0
811,10.0
812,15.0
813,2.0
814,10.0
815,15.0
816,4.0
817,10.0
818,10.0
819,12.0
820,0.0
821,10.0
822,4.0
823,10.0
824,10.0
825,4.0
826,4.0
827,15.0
828,10.0
829,0.0
830,10.0
831,10.0
832,20.0
833,10.0
834,10.0
835,10.0
836,5.0
837,10.0
838,10.0
839,10.0
840,2.0
841,1.0
842,10.0
843,16.0
844,2.0
845,10.0
846,17.0
847,8.0
848,16.0
849,2.0
850,21.0
851,4.0
852,10.0
853,10.0
854,4.0
855,0.0
856,15.0
857,8.0
858,5.0
859,10.0
860,5.0
861,10.0
862,10.0
863,22.0
864,5.0
865,8.0
866,4.0
867,10.0
868,10.0
869,2.0
870,3.0
871,10.0
872,10.0
873,10.0
874,11.0
875,5.0
876,4.0
877,21.0
878,4.0
879,10.0
880,5.0
881,15.0
882,4.0
883,17.0
884,10.0
885,2.0
886,8.0
887,19.0
888,10.0
889,8.0
890,13.0
891,10.0
892,5.0
893,2.0
894,3.0
895,20.0
896,15.0
897,4.0
898,6.0
899,0.0
900,10.0
901,16.0
902,5.0
903,21.0
904,6.0
905,4.0
906,10.0
907,8.0
908,2.0
909,17.0
910,10.0
911,5.0
912,16.0
913,4.0
914,5.0
915,4.0
916,16.0
917,10.0
918,0.0
919,10.0
920,10.0
921,4.0
922,20.0
923,10.0
924,13.0
925,17.0
926,3.0
927,14.0
928,5.0
929,10.0
930,20.0
931,2.0
932,10.0
933,5.0
934,10.0
935,10.0
936,20.0
937,0.0
938,7.0
939,2.0
940,10.0
941,20.0
942,2.0
943,0.0
944,2.0
945,10.0
946,2.0
947,8.0
948,10.0
949,13.0
950,10.0
951,2.0
952,0.0
953,8.0
954,2.0
955,10.0
956,17.0
957,2.0
958,10.0
959,22.0
960,10.0
961,10.0
962,15.0
963,4.0
964,5.0
965,6.0
966,10.0
967,10.0
968,6.0
969,4.0
970,2.0
971,4.0
972,5.0
973,11.0
974,10.0
975,2.0
976,4.0
977,5.0
978,5.0
979,10.0
980,4.0
981,12.0
982,9.0
983,10.0
984,16.0
985,4.0
986,10.0
987,22.0
988,13.0
989,8.0
990,4.0
991,13.0
992,4.0
993,4.0
994,10.0
995,10.0
996,8.0
997,10.0
998,0.0
999,4.0
1000,8.0
1001,10.0
1002,20.0
1003,10.0
1004,10.0
1005,4.0
1006,10.0
1007,10.0
1008,5.0
1009,2.0
1010,10.0
1011,8.0
1012,9.0
1013,10.0
1014,0.0
1015,12.0
1016,10.0
1017,8.0
1018,10.0
1019,0.0
1020,10.0
1021,16.0
1022,10.0
1023,17.0
1024,4.0
1025,15.0
1026,16.0
1027,10.0
1028,10.0
1029,15.0
1030,20.0
1031,5.0
1032,8.0
1033,10.0
1034,0.0
1035,10.0
1036,4.0
1037,10.0
1038,13.0
1039,5.0
1040,10.0
1041,11.0
1042,10.0
1043,10.0
1044,0.0
