,0
0,1.0
1,14.0
2,21.0
3,21.0
4,0.0
5,18.0
6,14.0
7,18.0
8,21.0
9,12.0
10,12.0
11,14.0
12,18.0
13,18.0
14,17.0
15,19.0
16,12.0
17,5.0
18,10.0
19,15.0
20,15.0
21,8.0
22,18.0
23,14.0
24,14.0
25,6.0
26,14.0
27,15.0
28,8.0
29,8.0
30,6.0
31,12.0
32,18.0
33,12.0
34,15.0
35,19.0
36,13.0
37,12.0
38,15.0
39,19.0
40,15.0
41,19.0
42,19.0
43,19.0
44,19.0
45,19.0
46,19.0
47,15.0
48,15.0
49,15.0
50,8.0
51,8.0
52,12.0
53,8.0
54,15.0
55,9.0
56,19.0
57,8.0
58,18.0
59,9.0
60,3.0
61,9.0
62,18.0
63,20.0
64,12.0
65,12.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,12.0
72,1.0
73,2.0
74,0.0
75,0.0
76,13.0
77,10.0
78,22.0
79,5.0
80,0.0
81,0.0
82,0.0
83,1.0
84,22.0
85,1.0
86,21.0
87,1.0
88,1.0
89,5.0
90,11.0
91,0.0
92,1.0
93,1.0
94,1.0
95,4.0
96,21.0
97,7.0
98,1.0
99,21.0
100,22.0
101,1.0
102,1.0
103,4.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,13.0
110,1.0
111,1.0
112,7.0
113,12.0
114,1.0
115,0.0
116,4.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,0.0
128,22.0
129,1.0
130,16.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,4.0
137,0.0
138,1.0
139,1.0
140,12.0
141,1.0
142,1.0
143,22.0
144,1.0
145,22.0
146,7.0
147,1.0
148,2.0
149,1.0
150,1.0
151,1.0
152,1.0
153,22.0
154,1.0
155,1.0
156,9.0
157,2.0
158,1.0
159,0.0
160,0.0
161,7.0
162,1.0
163,1.0
164,6.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,0.0
172,8.0
173,5.0
174,12.0
175,1.0
176,1.0
177,1.0
178,5.0
179,1.0
180,3.0
181,1.0
182,0.0
183,15.0
184,13.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,7.0
191,0.0
192,13.0
193,8.0
194,1.0
195,17.0
196,1.0
197,1.0
198,2.0
199,21.0
200,1.0
201,1.0
202,22.0
203,1.0
204,22.0
205,1.0
206,2.0
207,1.0
208,9.0
209,13.0
210,2.0
211,1.0
212,5.0
213,1.0
214,6.0
215,1.0
216,16.0
217,1.0
218,1.0
219,5.0
220,13.0
221,2.0
222,1.0
223,5.0
224,1.0
225,2.0
226,0.0
227,1.0
228,1.0
229,11.0
230,5.0
231,1.0
232,2.0
233,1.0
234,1.0
235,13.0
236,1.0
237,1.0
238,2.0
239,1.0
240,0.0
241,1.0
242,13.0
243,3.0
244,1.0
245,17.0
246,1.0
247,0.0
248,1.0
249,1.0
250,4.0
251,1.0
252,1.0
253,1.0
254,5.0
255,1.0
256,0.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,5.0
263,1.0
264,16.0
265,5.0
266,10.0
267,5.0
268,1.0
269,22.0
270,1.0
271,7.0
272,7.0
273,1.0
274,1.0
275,9.0
276,6.0
277,1.0
278,1.0
279,22.0
280,16.0
281,1.0
282,1.0
283,1.0
284,1.0
285,13.0
286,0.0
287,1.0
288,1.0
289,21.0
290,1.0
