,0
0,15.0
1,15.0
2,1.0
3,18.0
4,1.0
5,15.0
6,15.0
7,12.0
8,1.0
9,16.0
10,14.0
11,18.0
12,6.0
13,6.0
14,16.0
15,15.0
16,18.0
17,18.0
18,3.0
19,6.0
20,18.0
21,3.0
22,18.0
23,12.0
24,18.0
25,18.0
26,18.0
27,16.0
28,19.0
29,18.0
30,18.0
31,18.0
32,10.0
33,18.0
34,10.0
35,14.0
36,12.0
37,18.0
38,18.0
39,18.0
40,16.0
41,16.0
42,20.0
43,16.0
44,18.0
45,13.0
46,18.0
47,10.0
48,18.0
49,14.0
50,18.0
51,15.0
52,18.0
53,3.0
54,18.0
55,16.0
56,18.0
57,18.0
58,18.0
59,18.0
60,14.0
61,14.0
62,18.0
63,18.0
64,18.0
65,17.0
66,3.0
67,14.0
68,10.0
69,14.0
70,14.0
71,14.0
72,10.0
73,6.0
74,10.0
75,20.0
76,15.0
77,10.0
78,10.0
79,12.0
80,8.0
81,5.0
82,22.0
83,8.0
84,11.0
85,5.0
86,2.0
87,8.0
88,19.0
89,19.0
90,7.0
91,0.0
92,14.0
93,14.0
94,19.0
95,4.0
96,5.0
97,4.0
98,8.0
99,22.0
100,7.0
101,8.0
102,8.0
103,9.0
104,8.0
105,1.0
106,8.0
107,8.0
108,8.0
109,15.0
110,8.0
111,8.0
112,5.0
113,2.0
114,8.0
115,0.0
116,7.0
117,8.0
118,8.0
119,1.0
120,8.0
121,8.0
122,8.0
123,8.0
124,8.0
125,1.0
126,8.0
127,10.0
128,3.0
129,8.0
130,13.0
131,8.0
132,8.0
133,8.0
134,8.0
135,1.0
136,16.0
137,6.0
138,8.0
139,8.0
140,3.0
141,8.0
142,8.0
143,20.0
144,19.0
145,9.0
146,4.0
147,8.0
148,5.0
149,8.0
150,8.0
151,8.0
152,8.0
153,4.0
154,8.0
155,8.0
156,22.0
157,6.0
158,8.0
159,13.0
160,5.0
161,4.0
162,8.0
163,8.0
164,22.0
165,1.0
166,8.0
167,8.0
168,8.0
169,8.0
170,8.0
171,13.0
172,10.0
173,12.0
174,17.0
175,8.0
176,8.0
177,8.0
178,16.0
179,8.0
180,6.0
181,8.0
182,0.0
183,19.0
184,21.0
185,8.0
186,8.0
187,1.0
188,8.0
189,8.0
190,6.0
191,13.0
192,20.0
193,2.0
194,8.0
195,21.0
196,19.0
197,8.0
198,11.0
199,22.0
200,8.0
201,8.0
202,5.0
203,1.0
204,11.0
205,8.0
206,15.0
207,8.0
208,10.0
209,20.0
210,11.0
211,8.0
212,16.0
213,8.0
214,5.0
215,8.0
216,2.0
217,8.0
218,8.0
219,12.0
220,20.0
221,11.0
222,8.0
223,19.0
224,8.0
225,10.0
226,2.0
227,8.0
228,19.0
229,6.0
230,16.0
231,8.0
