,0
0,10.0
1,9.0
2,9.0
3,0.0
4,3.0
5,4.0
6,6.0
7,19.0
8,14.0
9,3.0
10,19.0
11,22.0
12,19.0
13,2.0
14,19.0
15,19.0
16,4.0
17,0.0
18,1.0
19,4.0
20,0.0
21,0.0
22,19.0
23,7.0
24,4.0
25,4.0
26,4.0
27,18.0
28,19.0
29,0.0
30,19.0
31,12.0
32,19.0
33,7.0
34,21.0
35,22.0
36,4.0
37,21.0
38,20.0
39,19.0
40,14.0
41,14.0
42,19.0
43,19.0
44,4.0
45,19.0
46,21.0
47,19.0
48,1.0
49,7.0
50,19.0
51,19.0
52,4.0
53,5.0
54,0.0
55,20.0
56,11.0
57,0.0
58,19.0
59,4.0
60,4.0
61,14.0
62,19.0
63,4.0
64,0.0
65,0.0
66,11.0
67,20.0
68,13.0
69,12.0
70,2.0
71,0.0
72,13.0
73,19.0
74,0.0
75,0.0
76,4.0
77,19.0
78,19.0
79,4.0
80,0.0
81,0.0
82,19.0
83,7.0
84,18.0
85,16.0
86,4.0
87,11.0
88,19.0
89,18.0
90,19.0
91,0.0
92,19.0
93,17.0
94,19.0
95,19.0
96,18.0
97,19.0
98,6.0
99,0.0
100,19.0
101,22.0
102,5.0
103,9.0
104,20.0
105,19.0
106,22.0
107,16.0
108,14.0
109,9.0
110,22.0
111,2.0
112,18.0
113,0.0
114,20.0
115,0.0
116,4.0
117,2.0
118,20.0
119,19.0
120,1.0
121,12.0
122,22.0
123,1.0
124,7.0
125,19.0
126,17.0
127,0.0
128,18.0
129,6.0
130,0.0
131,22.0
132,11.0
133,16.0
134,11.0
135,19.0
136,9.0
137,18.0
138,22.0
139,1.0
140,4.0
141,21.0
142,2.0
143,0.0
144,19.0
145,19.0
146,19.0
147,1.0
148,19.0
149,21.0
150,1.0
151,9.0
152,16.0
153,19.0
154,3.0
155,16.0
156,18.0
157,19.0
158,14.0
159,19.0
160,19.0
161,18.0
162,2.0
163,3.0
164,0.0
165,19.0
166,17.0
167,3.0
168,1.0
169,22.0
170,3.0
171,0.0
172,4.0
173,19.0
174,4.0
175,7.0
176,7.0
177,20.0
178,4.0
179,2.0
180,19.0
181,21.0
182,0.0
183,4.0
184,19.0
185,7.0
186,21.0
187,19.0
188,14.0
189,16.0
190,4.0
191,0.0
192,19.0
193,4.0
